Company Name,Company Profile,Summary,Category1,Category2,Category3
Movel AI,https://www.joinef.com/companies/movel-ai/,Next generation robot navigation software platform,Robotics/IoT,Robotics/IoT,Robotics/IoT
Moonsift,https://www.joinef.com/companies/moonsift/,Reimagining shopping online,Commerce or Marketplace,Commerce or Marketplace,Commerce or Marketplace
MOBILUS,https://www.joinef.com/companies/mobilus/,"A hands-free, ear-free voice platform.",Media or Entertainment,Media or Entertainment,Media or Entertainment
Mimica,https://www.joinef.com/companies/mimica/,Building self-learning automations for digital work,Enterprise Solutions,Enterprise Solutions,Enterprise Solutions
MicroSec,https://www.joinef.com/companies/microsec/,Bringing enterprise grade security to IoT and sensor networks.,Cyber Security or Privacy,Cyber Security or Privacy,Cyber Security or Privacy
Metomic,https://www.joinef.com/companies/metomic/,Discover & control sensitive data in the cloud.,Cyber Security or Privacy,Cyber Security or Privacy,Cyber Security or Privacy
Metis Labs,https://www.joinef.com/companies/metis-labs/,Optimising industrial processes using intelligent software.,Sustainability,Manufacturing or Industrial,Sustainability
Massless,https://www.joinef.com/companies/massless/,Making 3D tools for 3D design.,Design,Design,Design
Marble,https://www.joinef.com/companies/marble/,Producing breakthrough unmanned electric aircraft to power the drone industry.,Hardware,Hardware,Hardware
Machine Medicine,https://www.joinef.com/companies/machine-medicine/,Motor assessment made simple,Healthcare,Healthcare,Healthcare
LoopPerfect,https://www.joinef.com/companies/loopperfect/,Enabling quick feedback loops and programming in real-time.,Development Tools,Development Tools,Development Tools
Lingumi,https://www.joinef.com/companies/lingumi/,Helping children around the world learn English.,Education,Education,Education
Limbic,https://www.joinef.com/companies/limbic/,"A unifying AI therapy assistant for care providers, clinicians and patients",Mental Health,Healthcare,Mental Health
KroniKare,https://www.joinef.com/companies/kronikare/,"A platform for automatic and non-invasive chronic wound assessment, as well as tracking, predicting, and data-driven reporting",Healthcare,Healthcare,Healthcare
Konigle,https://www.joinef.com/companies/konigle/,Pricing automation and intelligence platform for e-commerce brands,Commerce or Marketplace,Commerce or Marketplace,Commerce or Marketplace
Kiroku,https://www.joinef.com/companies/kiroku/,The AI note-taking platform that gets busy professionals home on time.,Healthcare,Healthcare,Healthcare
Kinexcs,https://www.joinef.com/companies/kinexcs/,Building state-of-the-art monitoring products for the physical rehabilitation industry.,Healthcare,Healthcare,Healthcare
Kheiron,https://www.joinef.com/companies/kheiron/,"Making cancer diagnoses faster, easier, cheaper and more accurate",Healthcare,Healthcare,Healthcare
Juno Bio,https://www.joinef.com/companies/juno-bio/,Juno Bio is unlocking the potential of the microbiome.,Healthcare,Healthcare,Healthcare
Inoviv,https://www.joinef.com/companies/inoviv/,Matching patients with the right drugs,Healthcare,Healthcare,Healthcare
Hydroleap,https://www.joinef.com/companies/hydroleap/,"Making wastewater treatment cheap, fast and easy.",Manufacturing or Industrial,Manufacturing or Industrial,Manufacturing or Industrial
Hubble,https://www.joinef.com/companies/hubble/,Hubble is an online marketplace for renting office space.,Commerce or Marketplace,Commerce or Marketplace,Commerce or Marketplace
Headlight AI,https://www.joinef.com/companies/headlight-ai/,Headlight AI provides intelligent sensing and mapping software for harsh environments,Robotics/IoT,Navigation/Mapping,Robotics/IoT
Hadean,https://www.joinef.com/companies/hadean/,Unifying the performance and capabilities of HPC (high-performance computing),Data Science,Data Science,Data Science
Flexciton,https://www.joinef.com/companies/flexciton/,"Cutting edge, intelligent planning and scheduling software, powered by AI.",Manufacturing or Industrial,Manufacturing or Industrial,Manufacturing or Industrial
Crypto Quantique,https://www.joinef.com/companies/crypto-quantique/,Developing quantum cybersecurity products.,Cyber Security or Privacy,Cyber Security or Privacy,Cyber Security or Privacy
Chattermill,https://www.joinef.com/companies/chattermill/,Enabling companies to put customer experience at the heart of their business,Enterprise Solutions,Enterprise Solutions,Enterprise Solutions
CargoMate Technologies,https://www.joinef.com/companies/cargomate-technologies/,Saving millions in fuel costs by helping container ships leave port early,"Supply Chain, Transportation or Logistics","Supply Chain, Transportation or Logistics","Supply Chain, Transportation or Logistics"
Calipsa,https://www.joinef.com/companies/calipsa/,False Alarm Filtering Platform helping build a safer world,Cyber Security or Privacy,Cyber Security or Privacy,Cyber Security or Privacy
Bloomsbury AI,https://www.joinef.com/companies/bloomsbury-ai/,Automating customer care and advice using AI,Enterprise Solutions,Data Science,Enterprise Solutions
Beyond,https://www.joinef.com/companies/beyond/,Transforming how businesses do budgeting,Finance,Enterprise Solutions,Finance
Avocarrot,https://www.joinef.com/companies/avocarrot/,Enabling developers to monetise their mobile applications by dropping in native advertising.,Advertising/Marketing,Advertising/Marketing,Advertising/Marketing
Automata,https://www.joinef.com/companies/automata/,Democratizing robotics by creating an affordable & accessible robotic ecosystem.,Robotics/IoT,Manufacturing or Industrial,Robotics/IoT
Atomionics,https://www.joinef.com/companies/atomionics/,Atomionics is building atomic sensors for navigation and resource exploration.,Navigation/Mapping,Navigation/Mapping,Navigation/Mapping
Entropica Labs,https://www.joinef.com/companies/entropica-labs/,"Models, algorithms and software tools to make quantum computing useful",Development Tools,Development Tools,Development Tools
Eyn,https://www.joinef.com/companies/eyn/,Eyn is a biometric security company.,Cyber Security or Privacy,Cyber Security or Privacy,Cyber Security or Privacy
Hertzwell,https://www.joinef.com/companies/hertzwell/,Developing hyper-resolution imaging radars for autonomous vehicles.,Automotive,Automotive,Automotive
Encore,https://www.joinef.com/companies/encore/,The fastest way to find and book great musicians.,Commerce or Marketplace,Commerce or Marketplace,Commerce or Marketplace
Credit Kudos,https://www.joinef.com/companies/credit-kudos/,Better credit for all,Finance,Finance,Finance
Converge,https://www.joinef.com/companies/converge/,Cutting-edge wireless sensors to help construction companies stay on track.,Manufacturing or Industrial,Manufacturing or Industrial,Manufacturing or Industrial
Atlas Metrics,https://www.joinef.com/companies/atlas-metrics/,"Technology to help companies collect, manage, and report on ESG data in compliance with the world's leading impact standards.",Legal,Enterprise Solutions,Legal
Ackcio,https://www.joinef.com/companies/ackcio/,"Extremely reliable, wireless monitoring solutions for the world's most challenging industries.",Manufacturing or Industrial,Manufacturing or Industrial,Manufacturing or Industrial
Accelerated Dynamics,https://www.joinef.com/companies/accelerated-dynamics/,Technology to drive the 4th industrial revolution.,Robotics/IoT,Robotics/IoT,Robotics/IoT
Affable,https://www.joinef.com/companies/affable/,Leverage AI for your Influencer Marketing Campaigns.,Advertising/Marketing,Advertising/Marketing,Advertising/Marketing
Adbrain,https://www.joinef.com/companies/adbrain/,Unlocking the universe of data to build smarter businesses.,Enterprise Solutions,Advertising/Marketing,Enterprise Solutions
Circuit Mind,https://www.joinef.com/companies/circuit-mind/,Circuit Mind is using AI to completely automate the design of electronic circuits.,Hardware,Hardware,Hardware
